"Address","Status Code","Title 1","Content Type","Status","Indexability","Indexability Status","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","category 1","product 1","URL Encoded Address","Crawl Timestamp"
"https://www.coxandcox.co.uk/star-embroidered-stocking-grey","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/star-embroidered-stocking-grey/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/star-embroidered-stocking-grey","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/luna-charcoal-rug-medium","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/luna-charcoal-rug-medium/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/luna-charcoal-rug-medium","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/new-frame-side-table/","200","Frame Side Table","text/html; charset=UTF-8","OK","Indexable","","16","157","","0","0","","","","","","Frame Side Table","16","","0","","","","","","https://www.coxandcox.co.uk/new-frame-side-table/","","","","","","","","","3","","30","12","0.300","393","252","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/new-frame-side-table/","2021-09-08 16:19:02"
"https://www.coxandcox.co.uk/cotton-chevron-stitch-cushion-white","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","1","1","0.020","0","0","","","","","","","","","","https://www.coxandcox.co.uk/cotton-chevron-stitch-cushion-white/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/cotton-chevron-stitch-cushion-white","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/black-cross-frame-side-table/","200","Black Cross Frame Side Table","text/html; charset=UTF-8","OK","Indexable","","28","269","","0","0","","","","","","Black Cross Frame Side Table","28","","0","","","","","","https://www.coxandcox.co.uk/black-cross-frame-side-table/","","","","","","","","","3","","22","8","0.200","393","252","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/black-cross-frame-side-table/","2021-09-08 16:19:02"
"https://www.coxandcox.co.uk/new-soft-geometric-bedspread-indigo","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","3","0.070","0","0","","","","","","","","","","https://www.coxandcox.co.uk/new-soft-geometric-bedspread-indigo/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/new-soft-geometric-bedspread-indigo","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/studio-side-table/","200","Studio Side Table","text/html; charset=UTF-8","OK","Indexable","","17","155","","0","0","","","","","","Studio Side Table","17","","0","","","","","","https://www.coxandcox.co.uk/studio-side-table/","","","","","","","","","3","","30","12","0.300","394","253","","","","","","","","","","","","","HTTP/1.1","","Availability: In Stock","https://www.coxandcox.co.uk/studio-side-table/","2021-09-08 16:19:02"
"https://www.coxandcox.co.uk/soft-geometric-bedspread-slate","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","2","2","0.050","0","0","","","","","","","","","","https://www.coxandcox.co.uk/soft-geometric-bedspread-slate/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/soft-geometric-bedspread-slate","2021-09-08 16:19:03"
"https://www.coxandcox.co.uk/new-oak-topped-nested-tables/","200","Oak Topped Nested Tables","text/html; charset=UTF-8","OK","Indexable","","24","243","","0","0","","","","","","Oak Topped Nested Tables","24","","0","","","","","","https://www.coxandcox.co.uk/new-oak-topped-nested-tables/","","","","","","","","","3","","26","10","0.250","393","252","","","","","","","","","","","","","HTTP/1.1","","","https://www.coxandcox.co.uk/new-oak-topped-nested-tables/","2021-09-08 16:19:02"
"https://www.coxandcox.co.uk/soft-geometric-bedspread-blush","301","","text/html; charset=UTF-8","Moved Permanently","Non-Indexable","Redirected","0","0","","0","0","","","","","","","0","","0","","","","","","","","","","","","","","","3","","3","3","0.070","0","0","","","","","","","","","","https://www.coxandcox.co.uk/soft-geometric-bedspread-blush/","HTTP Redirect","","HTTP/1.1","","","https://www.coxandcox.co.uk/soft-geometric-bedspread-blush","2021-09-08 16:19:03"
